Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	4	RF	PD	Diff MPTs
2	F 	Chilenophoberus*	1	3.5355339059	0	4	Fossil	4.274839631	12.0123098813	11.25
5	F 	Hoploparia*	3	9.6711890442	0	4	Recent	4.5423280423	13.3871250564	1.1333333333
8	F 	Jagtia*	2	5.5226805086	-2	2				
9	F 	Malmuncina*	3.5	11.0139703158	0	4				
14	F 	Oncopareia*	8.2222222222	23.0008658474	14	18				
15	F 	Palaeonephrops*	2.5	8.767402474	0	4				
16	F 	Palaeophoberus*	2	6.341776946	0	4				
17	F 	Paraclytia*	4.5	14.0077028735	0	4				
18	F 	Pseudastacus*	9.5714285714	23.9295069558	10	14				
24	F 	Ti11oche1es*	2	6.6504275508	4	8				
25	F 	Uncina*	3.5	10.4199797858	0	4				
26	F 	Eryma*	9.5044247788	21.2866823673	109	113				
1	R	Acanthacaris	0	0	-3	1				
3	R	Enoplometopus	6.8571428571	19.0221479019	10	14				
4	R	Eunephrops	8	23.1688762539	-2	2				
6	R	Homarinus	2.5	9.1031172003	0	4				
7	R	Homarus	4.8333333333	15.0581253722	8	12				
10	R	Metanephrops	3	10.0562953993	0	4				
11	R	Nephrops	2	6.5562953993	0	4				
12	R	Nephropsis	5.5	15.4743136171	4	8				
13	R	Nephropides	4	13.3215529887	3	7				
19	R	Thaumastocheles	4	12.8554337687	0	4				
20	R	Thaumastochelopsis	4	12.8554337687	0	4				
21	R	Thymopides	3	11.8911699575	-2	2				
22	R	Thymops	4	12.0830459736	-3	1				
23	R	Thymopsis	4	12.6491106407	-3	1				
27	R	Neoglyphea	12.4444444444	26.7119576038	5	9				
