"Order"	"Fossil/Recent"	"Tax"	"RF"	"PD"	"Diff in MPTs"	"MPTs"				
1	"F"	"Dorudona"	0.5714285714	1.7805209062	0	28	28	"RF"	"PD"	"MPTs"
2	"F"	"Chonecetusc"	0.4285714286	1.5669033931	0	28	"fossil"	1.9686813187	0.3707482993	-6.4666666667
3	"F"	"Aetiocetusc"	1.3333333333	4.7375513984	8	36	"recent"	0.3707482993	1.3493954626	-9.1428571429
4	"F"	"Eomysticetusw"	0.75	2.742080938	-12	16				
5	"F"	"Nannocetuse"	1.9285714286	6.460434193	0	28				
6	"F"	"Mixocetuse"	0.2857142857	1.1517511069	-21	7				
7	"F"	"Cetotheriumr"	2	6.3245553203	-21	7				
8	"F"	"Metopocetusd"	0.2857142857	0.9035079029	-21	7				
9	"F"	"Herpetocetuss"	3.1428571429	6.5112881881	-14	14				
10	"F"	"Piscobalaenan"	2.4230769231	6.59486526	24	52				
11	"F"	"Pelocetusc"	0.1428571429	0.5758755534	0	28				
12	"F"	"Cophocetuso"	0.1666666667	0.5270462767	-16	12				
13	"F"	"Parietobalaenap"	3.5714285714	8.9425137265	0	28				
14	"F"	"Aglaocetusp"	2.5	9.6108936299	0	28				
15	"F"	"Diorocetush"	10	19.7804811585	-24	4				
16	"R"	"Megapteran"	0	0	-16	12				
17	"R"	"Balaea"	0.1666666667	0.6718548124	-16	12				
18	"R"	"Balaep"	0.25	0.9757557615	-12	16				
19	"R"	"Eschrichtiusr"	0.25	0.790569415	-20	8				
20	"R"	"Capeream"	0.5	1.8293820341	0	28				
21	"R"	"Balaenam"	0.7142857143	2.5891031075	0	28				
22	"R"	"Eubalaenag"	0.7142857143	2.5891031075	0	28				
