	"V1"	"V2"	"V3"
"meantablerf"	"Hyrachyus_eximius"	0.0540540541	0.2592341364
	"Trigonias_osborni"	0.0540540541	0.2058317056
	"Ronzotherium_filholi"	2	10.3923048454
	"Caementodon_caucasicum"	2	7.6157731059
	"Bugtirhinus_praecursor"	2	8.1822091394
	"elasm_caucasicum"	0	0
	"elasm_sibiricum"	2.5	6.7935568791
	"hisp_beonense"	2	7.6157731059
	"hisp_matritense"	0	0
	"hisp_tungurense"	1	7.2399240694
	"Iranotherium_morgani"	1.3333333333	5.0771820706
	"Gobitherium_mongoliense"	0.6666666667	2.5385910353
	"Kenyatherium_bishopi"	0.0666666667	0.2538591035
	"pare_schansiense"	0	0
	"pare_linxiaense"	0	0
	"ningx_euryrhinus"	1	3.8078865529
	"ningx_longirhinus"	3	7.3159326689
	"Sinotherium_lagrelii"	0.4	1.5231546212
	"Ceratotherium_simum"	0	0
	"Diceros_bicornis"	2	5.5577773335
	"Dicerorhinus_sumatrensis"	0	0
	"rhino_sondaicus"	4	10.7703296143
	"rhino_unicornis"	0.2857142857	1.0879675866
	"Brachypotherium_brachypus"	0.2857142857	1.3702375781
	"Coelodonta_antiquitatis"	0	0
	"Diceratherium_armatum"	0	0
	"Menoceras_arikarense"	30	94.4457516249
	"Plesiaceratherium_mirallesi"	4.5454545455	29.0856801087
	"Prosantorhinus_douvillei"	0.2857142857	1.3702375781
	"Protaceratherium_minutum"	0	0
	"Teleoceras_fossiger"	2	10.3923048454
			
			
	2	"Hyrachyus_eximius"	
	3	"Trigonias_osborni"	
	4	"Ronzotherium_filholi"	
	5	"Caementodon_caucasicum"	
	6	"Bugtirhinus_praecursor"	
	7	"elasm_caucasicum"	
	8	"elasm_sibiricum"	
	9	"hisp_beonense"	
	10	"hisp_matritense"	
	11	"hisp_tungurense"	
	12	"Iranotherium_morgani"	
	13	"Gobitherium_mongoliense"	
	14	"Kenyatherium_bishopi"	
	15	"pare_schansiense"	
	16	"pare_linxiaense"	
	17	"ningx_euryrhinus"	
	18	"ningx_longirhinus"	
	19	"Sinotherium_lagrelii"	
	20	"Ceratotherium_simum"	
	21	"Diceros_bicornis"	
	22	"Dicerorhinus_sumatrensis"	
	23	"rhino_sondaicus"	
	24	"rhino_unicornis"	
	25	"Brachypotherium_brachypus"	
	26	"Coelodonta_antiquitatis"	
	27	"Diceratherium_armatum"	
	28	"Menoceras_arikarense"	
	29	"Plesiaceratherium_mirallesi"	
	30	"Prosantorhinus_douvillei"	
	31	"Protaceratherium_minutum"	
	32	"Teleoceras_fossiger"	
