Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	6	RF	PD	Diff MPTs
1	F	FEvani0ps	6.8	14.3486111201	9	15	Fossil	4.8407986111	11.3293916161	7.4375
2	F	FCretoc1eistogastrinae	2	5.8813664564	-3	3	Recent	1.8	4.4950471659	0
3	F	FBaissinae	3.3333333333	8.1113506727	-3	3				
5	F	FK0tuje11itinae	2.3333333333	6.1425563941	0	6				
7	F	FAndrene1ia	10.6666666667	20.7400914393	54	60				
8	F	FLebanevania	3	7.8584947509	0	6				
9	F	FMesevania	8.6666666667	16.3602040633	9	15				
10	F	FCretevania	3	7.8584947509	0	6				
11	F	FProcretevania	4.7777777778	12.3286143887	12	18				
12	F	FEovernevania	3.3333333333	8.464085579	0	6				
13	F	Grima1divania	4	10.417990886	0	6				
14	F	Newjersevania	2.6666666667	7.5048203194	0	6				
15	F	Pr0t0parevania	8.875	19.7194137098	42	48				
16	F	Iber0evania	7	19.6180298544	0	6				
17	F	S0re11evania	6	12.8339344711	3	9				
18	F	E0evania	1	3.0822070015	-4	2				
4	R	Au1acinae	2.3333333333	6.1425563941	0	6				
6	R	Gasteruptiinae	4.6666666667	9.7735803572	0	6				
19	R	Vernevania	1	3.279549539	0	6				
20	R	Acanthinevania	1	3.279549539	0	6				
21	R	Trissevania	0	0	0	6				
