Order	Fossil/Recent	Taxa	RF	PD	Diff MPTs	MPTs	2	RF	PD	Diff MPTs
1	F 	FAmphistium	10	22.4499443206	-1	1	fossil	3.1333333333	7.3752128708	0.4
6	F 	FEobothus	0	0	-1	1	recent	3.3876678877	7.636880701	3.8461538462
7	F 	FHeteronectes	0	0	0	2				
8	F 	FJoleaudichthys	2	5.6568542495	0	2				
11	F 	FNumidiopleura	3.6666666667	8.7692657839	4	6				
2	R	Caranx	6	12.6491106407	0	2				
3	R	Chaetodipterus	6.5	12.3303360682	10	12				
4	R	Citharus	0	0	-1	1				
5	R	Cyttus	2	5.6568542495	0	2				
9	R	Monodactylus	4.4444444444	11.9944305801	7	9				
10	R	Neocyttus	1	2.8284271247	2	4				
12	R	Platax	2	5.6568542495	0	2				
13	R	Psettodes	6.6666666667	14.2220889042	7	9				
14	R	Scorpis	6	13.0574385243	0	2				
15	R	Tephrinectes	0	0	-1	1				
16	R	Trachinotus	7.4285714286	15.2270545227	26	28				
17	R	Xenolepidichthys	0	0	0	2				
18	R	Zeus	2	5.6568542495	0	2				
