"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	4	"RF"	"PD"	"Diff MPTs"
2	"F"	"FAm.gladifolia"	1.5	5.885362739	0	4	"fossil"	6.7647619048	17.4160769326	13
4	"F"	"FPru.anglica"	12.8571428571	34.0008085147	3	7	"recent"	9.1828260788	21.0786488231	8.4761904762
21	"F"	"FPod.platyphyllus"	4.6666666667	11.7652370354	20	24				
24	"F"	"FPod.travisiae"	10.4	24.7469588472	41	45				
25	"F"	"FPod.tzagajanicus"	4.4	10.6820175269	1	5				
1	"R"	"Am.formosana"	1.5	5.885362739	0	4				
3	"R"	"Pru.amara"	3	8.8724285283	-2	2				
5	"R"	"Pru.andina"	4	10.6847394405	0	4				
6	"R"	"Pru.exigua"	14.0952380952	33.7109878476	17	21				
7	"R"	"Pru.fnea"	16.6666666667	37.0189544678	8	12				
8	"R"	"Pru.ferruginoides"	17.3333333333	38.4954250457	-1	3				
9	"R"	"Pru.harmsiana"	15	29.9111537495	-2	2				
10	"R"	"Pru.ladei"	11.2830188679	23.960537892	49	53				
11	"R"	"Pru.montana"	6.1428571429	13.0948567853	10	14				
12	"R"	"Pru.meridensis"	6	14.9532269082	-2	2				
13	"R"	"Pru.standleyi"	6.4444444444	15.1573114062	5	9				
14	"R"	"Pru.taxifolia"	10.3636363636	21.6791149258	29	33				
15	"R"	"Pod.dispermus"	16.5	46.6583676082	0	4				
16	"R"	"Pod.elatus"	3	7.3692264531	0	4				
17	"R"	"Pod.henckelii"	4.4	10.9612512709	1	5				
18	"R"	"Pod.latifolius"	12.4761904762	27.1694229817	17	21				
19	"R"	"Pod.longifoliolatus"	17.4339622642	33.51494431	49	53				
20	"R"	"Pod.neriifolius"	4.4	10.1080663787	1	5				
22	"R"	"Pod.salignus"	12.6666666667	29.3677585442	-1	3				
23	"R"	"Pod.smithii"	2.8	7.2810218085	1	5				
26	"R"	"Sciadopitysverticillata"	7.3333333333	16.797466194	-1	3				
