		"V1"	"V2"	
	"Iguanidae"	1.6	8.5087703227	
	"Leiolepidinae"	1.3333333333	5.6960024969	
	"Agaminae"	1.3333333333	5.6960024969	
	"Chamaeleonidae"	1.3333333333	5.6960024969	
	"Polyglyphanodon"	2	15.1657508881	
	"Macrocephalosaurus"	14	19.1311264697	
	"Xantusiidae"	4	16.6733320005	
	"Eublepharinae"	1.3333333333	5.5577773335	
	"Gekkonines_s.l."	1.3333333333	5.5577773335	
	"Diplodactylinae"	0	0	
	"Pygopodidae"	0	0	
	"Sineoamphisbaena"	0.6666666667	5.055250296	
	"Dibamidae"	21	34.9699085705	
	"Amphisbaenia"	1.3333333333	5.5577773335	
	"Lacertidae"	1	7.3484692283	
	"Teiidae"	0	0	
	"Gymnophthalmidae"	2	10.5699663023	
	"Cordylidae"	2	8.5440037453	
	"Scincidae"	0	0	
	"Anguidae"	4	17.0880074906	
	"Xenosaurus"	1.3333333333	5.6960024969	
	"Shinisaurus"	0	0	
	"Heloderma"	1.3333333333	5.6960024969	
	"Lanthanotus"	1.3333333333	5.6960024969	
	"Varanus"	1.3333333333	5.6960024969	
	"Aigialosauridae"	1.3333333333	5.6960024969	
	"Mosasauridae"	1.3333333333	5.6960024969	
	"Dolichosauridae"	1.3333333333	5.6960024969	
	"Adriosaurus"	1.3333333333	5.6960024969	
	"Pachyrhachis"	1.3333333333	5.6960024969	
	"Haasiophis"	1.3333333333	5.6960024969	
	"Serpentes"	1.3333333333	5.6960024969	
	"Xianglong"	1.3333333333	5.6960024969	
				
				
				
				
				2
				3
				4
				5
				6
				7
				8
				9
				10
				11
				12
				13
				14
				15
				16
				17
				18
				19
				20
				21
				22
				23
				24
				25
				26
				27
				28
				29
				30
				31
				32
				33
				34
