"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"	14	"RF"	"PD"	"Diff MPTs"
6	"F "	"Protocypselomorphus"	0	0	-12	2	"fossil"	0.3055555556	1.1635606004	-9.8333333333
10	"F "	"Eocypselidae"	0	0	-13	1	"recent"	1.7986708131	4.7613801991	6.75
11	"F "	"Aegialornithidae"	0.6666666667	1.8856180832	-8	6				
12	"F "	"Argornis"	0	0	-12	2				
13	"F "	"Jungornis"	1	4.472135955	-12	2				
16	"F "	"Scaniacypselus"	0.1666666667	0.6236095645	-2	12				
1	"R"	"Galliformes"	0.5	1.4142135624	-2	12				
2	"R"	"Trogonidae"	5.4186046512	13.2131243815	72	86				
3	"R"	"Coraciidae"	1.1666666667	3.2998316455	-2	12				
4	"R"	"Podargidae"	0.6666666667	1.8856180832	-2	12				
5	"R"	"Steatornithidae"	4.3050847458	11.0189370575	45	59				
7	"R"	"Nyctibiidae"	1	2.8284271247	-12	2				
8	"R"	"Caprimulgidae"	5.027027027	12.1990026206	23	37				
9	"R"	"Aegothelidae"	2	6.5090923848	-11	3				
14	"R"	"Trochilidae"	0.5	1.4142135624	-10	4				
15	"R"	"Hemiprocnidae"	1	3.3541019662	-6	8				
17	"R"	"Cypseloidinae"	0	0	-8	6				
18	"R"	"Apodinae"	0	0	-6	8				
