"Order"	"Fossil/Recent"	"Taxa"	"RF"	"PD"	"Diff MPTs"	"MPTs"		"RF"	"PD"	"Diff MPTs"
5	"F "	"FOnychonycteris"	"4"	"13.1263264093727"	3	4	"fossil"	1.6	5.875	1.8
6	"F "	"FIcaronycteris"	"2"	"9.46536659126588"	3	4	"recent"	1.510	5.033	1.6086956522
7	"F "	"FArchaeonycteris"	"0"	"0"	0	1				
8	"F "	"FHassianycteris"	"0"	"0"	0	1				
9	"F "	"FPalaeochiropteryx"	"2"	"6.78519606458925"	3	4				
1	"R"	"Cynocephalus"	"0"	"0"	0	1				
2	"R"	"Erinaceus"	"1.33333333333333"	"5.29045219625745"	2	3				
3	"R"	"Sus"	"1.33333333333333"	"5.29045219625745"	2	3				
4	"R"	"Felis"	"3"	"10.3148497312493"	7	8				
10	"R"	"Pteropodidae"	"3"	"10.9817420158646"	1	2				
11	"R"	"Rhinolophidae"	"0"	"0"	0	1				
12	"R"	"Hipposideridae"	"0"	"0"	0	1				
13	"R"	"Megadermatidae"	"0"	"0"	0	1				
14	"R"	"Craseonycteridae"	"0"	"0"	0	1				
15	"R"	"Rhinopomatidae"	"0"	"0"	0	1				
16	"R"	"Emballonuridae"	"4"	"13.4309748450379"	6	7				
17	"R"	"Nycteridae"	"0"	"0"	0	1				
18	"R"	"Phyllostomidae"	"0"	"0"	0	1				
19	"R"	"Mormoopidae"	"0"	"0"	0	1				
20	"R"	"Noctilionidae"	"4.33333333333333"	"13.8821697700836"	5	6				
21	"R"	"Furipteridae"	"2"	"7.21110255092798"	0	1				
22	"R"	"Thyropteridae"	"0"	"0"	0	1				
23	"R"	"Mystacinidae"	"5.2"	"16.0577060315194"	4	5				
24	"R"	"Myzopodidae"	"1 "	"3.60555127546399"	1	2				
25	"R"	"Natalidae"	"4.3333 "	"13.3814216929328"	5	6				
26	"R"	"Minopteridae"	"0"	"0"	0	1				
27	"R"	"Vespertilionidae"	"0"	"0"	0	1				
28	"R"	"Molossidae"	"5.2 "	"16.3049258604752"	4	5				
										
										
										
										
										
										
		"		2"								
		"		3"								
		"		4"								
		"		5"								
		"		6"								
		"		7"								
		"		8"								
		"		9"								
		"		10"								
		"		11"								
		"		12"								
		"		13"								
		"		14"								
		"		15"								
		"		16"								
		"		17"								
		"		18"								
		"		19"								
		"		20"								
		"		21"								
		"		22"								
		"		23"								
		"		24"								
		"		25"								
		"		26"								
		"		27"								
		"		28"								
		"		29"								
